DATE DE MISE A JOUR DES TARIFS : 27/09/2019;
Code article;Marque;Famille;Sous-famille;PVGC T.T.C.;Coeff.;Commentaires;P;Gamme;Prix facture fournisseur;R HF D;R HF C;R P PR;Prix net fournisseur;Prix net grossiste;Code barre;
D55MH56N0;NEFF;CUISSON;Hotte;479;2.23;;P;R;235.64;9;0;0;214.43;232.96;4242004186847;
D55ML66N0;NEFF;CUISSON;Hotte;669;2.14;CTM;P;;343.58;9;0;0;312.66;343.6;4242004186861;
I99C68N1;NEFF;CUISSON;Hotte;1729;2.24;CTM;P;;849.28;9;0;0;772.84;839.62;4242004187912;
D95IPP1N0;NEFF;CUISSON;Hotte;929;2.24;;P;;456.55;9;0;0;415.46;451.35;4242004210276;
D49ED52X0;NEFF;CUISSON;Hotte;669;2.24;;P;R;328.91;9;0;0;299.31;325.17;4242004197577;
D46PU65X3;NEFF;CUISSON;Hotte;1179;2.14;CTM;P;;605.12;9;0;0;550.66;616.1;4242004213765;
D95QFM4N0;NEFF;CUISSON;Hotte;609;2.23;;P;R;299.46;9;0;0;272.51;296.05;4242004223061;
I92CM67N0;NEFF;CUISSON;Hotte;2259;2.24;CTM;P;;1109.47;9;0;0;1009.62;1096.85;4242004187462;
D95IKP1S0;NEFF;CUISSON;Hotte;1029;2.24;;P;;505.64;9;0;0;460.13;499.89;4242004210238;
D46ED52X0;NEFF;CUISSON;Hotte;569;2.23;;P;R;279.82;9;0;0;254.64;276.63;4242004197300;
D46BR12X0;NEFF;CUISSON;Hotte;309;2.14;CTM;P;;158.97;9;0;0;144.66;161.93;4242004195955;
I91VT44N0;NEFF;CUISSON;Hotte;2059;2.24;;P;;1011.29;9;0;0;920.27;999.78;4242004210511;
D95BHM4N0;NEFF;CUISSON;Hotte;609;2.23;;P;R;299.46;9;0;0;272.51;296.05;4242004223054;
D95IHM1S0;NEFF;CUISSON;Hotte;829;2.24;;P;;407.46;9;0;0;370.79;402.82;4242004210214;
D46ED22X0;NEFF;CUISSON;Hotte;409;2.23;;P;R;201.27;9;0;0;183.16;198.98;4242004195993;
D35KHM2S0;NEFF;CUISSON;Hotte;1069;2.24;CTM;P;;525.28;9;0;0;478;519.3;4242004209973;
I90CN48W0;NEFF;CUISSON;Hotte;3129;2.24;;P;;1536.57;9;0;0;1398.28;1519.09;4242004201601;
D85IBE1S0;NEFF;CUISSON;Hotte;829;2.24;;P;R;407.46;9;0;0;370.79;402.82;4242004230601;
D95FRW1S0;NEFF;CUISSON;Hotte;1729;2.24;;P;;849.28;9;0;0;772.84;839.62;4242004210191;
D46BR22X0;NEFF;CUISSON;Hotte;309;2.23;;P;R;152.18;9;0;0;138.48;150.45;4242004195979;
I90CL46N0;NEFF;CUISSON;Hotte;2049;2.24;;P;;1006.38;9;0;0;915.81;994.93;4242004201717;
D64BBC0N0;NEFF;CUISSON;Hotte;369;2.23;;P;R;181.63;9;0;0;165.28;179.57;4242004223016;
D95FRM1S0;NEFF;CUISSON;Hotte;1329;2.24;;P;;652.92;9;0;0;594.16;645.49;4242004210160;
I79SL64N0;NEFF;CUISSON;Hotte;1189;2.14;CTM;P;;610.25;9;0;0;555.33;621.97;4242004174615;
D58ML66N1;NEFF;CUISSON;Hotte;689;2.24;;P;R;338.73;9;0;0;308.24;334.88;4242004238300;
D79SL62N0;NEFF;CUISSON;Hotte;829;2.14;CTM;P;;425.64;9;0;0;387.33;433.81;4242004174516;
I72MT64N1;NEFF;CUISSON;Hotte;1899;2.2;CTM;P;;948;9;0;0;862.68;947.86;4242004183891;
D5855X1;NEFF;CUISSON;Hotte;409;2.23;;P;R;201.27;9;0;0;183.16;198.98;4242004237143;
D79MT64N1;NEFF;CUISSON;Hotte;1139;2.16;CTM;P;;580.65;9;0;0;528.39;580.56;4242004183822;
D95BEM4N0;NEFF;CUISSON;Hotte;569;2.23;$0;P;L;279.82;9;0;0;254.64;276.63;4242004222446;
I38KHV2S0;NEFF;CUISSON;Hotte;1329;2.24;;P;;652.92;9;0;0;594.16;645.49;4242004210399;
D57ML66N1;NEFF;CUISSON;Hotte;669;2.24;;P;R;328.91;9;0;0;299.31;325.17;4242004238294;
D58ML66N0;NEFF;CUISSON;Hotte;799;2.14;CTM;P;;410.25;9;0;0;373.33;418.13;4242004186960;
D94BBC0N0;NEFF;CUISSON;Hotte;409;2.23;$0;P;L;201.27;9;0;0;183.16;198.98;4242004224167;
D96IMW1N0;NEFF;CUISSON;Hotte;1589;2.24;;P;;780.55;9;0;0;710.3;771.68;4242004210351;
D5655X1;NEFF;CUISSON;Hotte;269;2.23;;P;R;132.54;9;0;0;120.61;131.04;4242004237129;
D5855X0;NEFF;CUISSON;Hotte;479;2.22;CTM;P;;237;9;0;0;215.67;236.96;4242004073147;
D96IMS1N0;NEFF;CUISSON;Hotte;1259;2.24;;P;;618.55;9;0;0;562.88;611.52;4242004210337;
D55ML66N1;NEFF;CUISSON;Hotte;579;2.23;;P;R;284.73;9;0;0;259.1;281.49;4242004238287;
D57ML66N0;NEFF;CUISSON;Hotte;779;2.28;CTM;P;;375.25;9;0;0;341.48;375.2;4242004186946;
