DATE DE MISE A JOUR DES TARIFS : 27/09/2019;
Code article;Marque;Famille;Sous-famille;PVGC T.T.C.;Coeff.;Commentaires;P;Gamme;Prix facture fournisseur;R HF D;R HF C;R P PR;Prix net fournisseur;Prix net grossiste;Code barre;
K1514X7FF;NEFF;FROID;Réfrigérateur combi intégrable;629;2.23;;P;;309.27;9;0;0;281.44;305.76;4242004124566;
V6540X1EU;NEFF;LAVAGE;Lavante séchante intégrable;1399;2.24;;P;;687.28;9;0;0;625.42;679.46;4242004196525;
S513K60X1E;NEFF;LAVAGE;Lave vaisselle 60cm intégrable;719;2.24;;P;R;353.46;9;0;0;321.65;349.43;4242004220015;
S413I60B3E;NEFF;LAVAGE;Lave vaisselle 60cm intégrable;829;2.24;;P;;407.46;9;0;0;370.79;402.82;4242004215981;
S513K60X0E;NEFF;LAVAGE;Lave vaisselle 60cm intégrable;689;2.24;;P;R;338.73;9;0;0;308.24;334.88;4242004216117;
S515M80X0E;NEFF;LAVAGE;Lave vaisselle 60cm intégrable;839;2.24;;P;L;412.37;9;0;0;375.26;407.68;4242004221418;
S513A60X0E;NEFF;LAVAGE;Lave vaisselle 60cm intégrable;599;2.23;;P;R;294.55;9;0;0;268.04;291.2;4242004219132;
S723P60X0E;NEFF;LAVAGE;Lave vaisselle 60cm intégrable;1079;2.14;CTM;P;;553.84;9;0;0;503.99;564.47;4242004219187;
S717P80D0E;NEFF;LAVAGE;Lave vaisselle 60cm intégrable;1419;2.14;CTM;P;;728.2;9;0;0;662.66;742.18;4242004216087;
S716T80X1E;NEFF;LAVAGE;Lave vaisselle 60cm intégrable;1349;2.14;CTM;P;;692.3;9;0;0;629.99;705.59;4242004213581;
S713P60X0E;NEFF;LAVAGE;Lave vaisselle 60cm intégrable;1029;2.14;CTM;P;;528.2;9;0;0;480.66;538.34;4242004219170;
S523K60X0E;NEFF;LAVAGE;Lave vaisselle 60cm intégrable;739;2.24;;P;;363.27;9;0;0;330.58;359.15;4242004216100;
S516I80X1E;NEFF;LAVAGE;Lave vaisselle 60cm intégrable;929;2.24;;P;;456.55;9;0;0;415.46;451.35;4242004219637;
S513M60X3E;NEFF;LAVAGE;Lave vaisselle 60cm intégrable;819;2.24;;P;;402.55;9;0;0;366.32;397.97;4242004213246;
S415M80S1E;NEFF;LAVAGE;Lave vaisselle 60cm intégrable;969;2.24;;P;;476.19;9;0;0;433.33;470.77;4242004213536;
S715T60D2E;NEFF;LAVAGE;Lave vaisselle 60cm intégrable;979;2.24;;P;R;481.09;9;0;0;437.79;475.62;4242004237600;
S413I60S3E;NEFF;LAVAGE;Lave vaisselle 60cm intégrable;879;2.24;;P;;432;9;0;0;393.12;427.09;4242004215011;
